case,lmo_cost,dso_loss_cost,avg_prosumer_cost,cpu
Base Case,1411.4832879611167,0.8824974451857941,20.785596275029942,59.29686164855957
Case I,1454.824760100416,0.0,21.394481766182587,3.192411422729492
Case II,1411.4832878851803,0.0,20.757107174782067,4.113098382949829
Case III (reduced),1411.4832879606106,0.0,20.757107175891328,29648.430824279785
