hour,p_ug,wem
0,0.353499676520488,36.09520485463708
1,1.3236486596739425,33.628563276355365
2,0.30863652302949507,33.71688039914559
3,1.06441295109307,31.64187139123418
4,2.3022078896237304,29.71952605889911
5,2.4489835165730285,31.133485365723992
6,0.7581004400875659,32.80796202794863
7,0.798283305582395,32.30445718216351
8,2.5306240665991515,29.38339433360735
9,2.2736803388211873,28.901228214835996
10,1.0520860967327266,31.18948617318432
11,-0.2900439767343601,33.975424961632456
12,1.1533535951069234,31.193682863172622
13,-0.031625922613928846,37.803417184023964
14,0.13539608988765675,38.42572998032127
15,0.6507707112794651,42.122578126395226
16,1.1503240971486326,44.7964262808081
17,2.170792034338351,46.813597907835884
18,1.5536339024487136,48.82326107274827
19,1.7735593676619044,49.53122495945955
20,5.395948692577846,45.62787492063465
21,1.3773903609108575,46.3200397769015
22,3.0556715077977383,39.587162527854176
23,3.5062534586770675,38.944020652075096
