agent,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
10,0.0057522135983519365,0.0215386621247478,0.005022191470595064,0.017320328830484864,0.03746196271788542,0.039850323605581106,0.012335953900549403,0.01318195374994115,0.04080418078246314,0.03701317257073787,0.017265170187295214,-0.005608962436874132,0.018657973981855504,-0.0008223194853768591,0.0015628045246010496,0.011233459191161983,0.01859175199713226,0.05550870699994702,0.01945814791121888,0.028859693758084448,0.08804579779608573,0.022413156599425336,0.049722465217005504,0.05705442033240904
11,0.005752213856084309,0.021538660918371835,0.005022192566875321,0.01732032975604608,0.037461962648029444,0.03985032321307303,0.012335953932120766,0.01284361653463651,0.04137382756636728,0.03690850079825252,0.01694882566442924,-0.005005539424633237,0.017714850436697283,-0.0005250764010511371,0.001756613467208899,0.010410198290938952,0.018788228261063487,0.026236957916630603,0.019677119790186718,0.02885969379955109,0.087235271343013,0.022413156900144136,0.04972246575289035,0.057054419808339904
12,0.005752213607450639,0.02153866226245686,0.0050221913270429705,0.01732032886392076,0.03746196272308361,0.03985032360169877,0.012335953893888196,0.01277168539711318,0.04139600100088522,0.03734089613117198,0.017437451379007405,-0.004882884175762745,0.01972005388023796,-0.0015318279391587902,0.0029004908623074363,0.010839995384265404,0.017966819108960808,0.02580267965455871,0.03405550207980548,0.02885969396688928,0.08804579785186957,0.02241315679604899,0.049722465212231164,0.0570544203361135
13,0.005752213822064649,0.021538661145624027,0.005022192361134074,0.017320329679569382,0.03746196264642437,0.03985032317081262,0.012335953942059684,0.013154607192156857,0.04086399538322744,0.036605624967479836,0.017527406889119298,-0.0038598872309655815,0.018376259508591473,0.0002614771904354758,0.0014036693756886035,0.010718263855032063,0.01888130576839126,0.02636842118102989,0.019380694249108172,0.028859693802625572,0.08723527110364049,0.02241315713190518,0.049722465800025026,0.05705441975700276
14,0.005752213601621598,0.021538662192828295,0.005022191402550043,0.017320328857686647,0.03746196271617652,0.03985032357573416,0.012335953902691895,0.012816930309859684,0.04123487037240232,0.03654384581810651,0.01709914128805888,-0.0050199527239525735,0.01976445130960654,-0.0003703543065071513,0.001530586918334404,0.010144269009549867,0.01880484242055767,0.05643002114397611,0.019430810912292738,0.02885969375918174,0.0880457975794612,0.02241315678811023,0.049722465237615414,0.05705442031069269
15,0.00575221360189978,0.021538662150549354,0.005022191444825426,0.017320328860135067,0.0374619627160261,0.03985032357288551,0.01233595390289331,0.012833183648590304,0.041011156973148645,0.037493056539300754,0.016929433856809964,-0.0053432304136949525,0.019531723377298683,0.0005498355725792684,0.0017572855097829536,0.010341828030287744,0.019139148183837603,0.05571294091552531,0.0198181472497921,0.0288596937592843,0.0880457975567398,0.022413156808181813,0.0497224652396204,0.05705442030859255
16,0.005752213812454626,0.021538661136994625,0.005022192375603968,0.017320329656691814,0.03746196264623758,0.03985032316059902,0.012335953944540167,0.01324422581045842,0.04121626869159012,0.03729732253706535,0.016807497284155683,-0.004059183885257374,0.019432168465610803,-0.0014325780714245747,0.003264620275642783,0.010318639807287304,0.01819122176405301,0.026034357295889786,0.019674872650460397,0.02885969380315972,0.0872352710409188,0.022413157193476786,0.049722465810935354,0.057054419744992715
17,0.005752213608232194,0.02153866219974591,0.0050221913901007005,0.01732032887583713,0.03746196272236343,0.0398503235866101,0.012335953895005544,0.012932286488115122,0.04078021221307131,0.03662100872713306,0.01756242445096894,-0.004463787217749807,0.019810926818393505,0.0004406387380061105,0.0025092794338874578,0.010001363588624333,0.019284518707909964,0.02591255527959181,0.03375586834957559,0.028859693967291062,0.08804579773085366,0.022413156909677625,0.04972246522266406,0.05705442032510261
18,0.005752213608299704,0.02153866217199014,0.00502219141787902,0.017320328876850765,0.03746196272230271,0.03985032358531028,0.012335953895100341,0.012784340009226191,0.0411016773888305,0.03705800826738611,0.016677231008474753,-0.004410276679850098,0.019627365504930175,-0.0006762766848316014,0.0021616375930940375,0.011173435008564093,0.01890464899364882,0.026311331315654295,0.03416564834201253,0.02885969396732834,0.08804579771997455,0.02241315691992252,0.04972246522357105,0.05705442032414997
19,0.005752213799855252,0.021538661049971524,0.0050221924702060034,0.017320329626310055,0.037461962646071836,0.0398503231475117,0.012335953947705921,0.01282093739093333,0.041598283450705736,0.03670008446713358,0.0172368884543726,-0.003724690620466429,0.01917748347424901,-0.0011063229790687027,0.0020370318951691063,0.009834367936957841,0.018367889133016388,0.025765368754794123,0.019158612246377615,0.028859693803743477,0.08723527095873827,0.022413157274503253,0.04972246582449357,0.05705441973002245
