0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
36.095207054057205,33.62857156861909,33.71688231956045,31.641878036456102,29.719540825140218,31.133501150216155,32.807966748893584,32.304462154528956,29.383410690705066,28.901242784676075,31.189492740585937,33.975423146711954,31.19369007139338,37.80341698685155,38.42573082334982,42.122582177163856,44.79643346970228,46.813611767457765,48.82327084681717,49.531236168703586,45.627915562397725,46.32004841332548,39.58718269227592,38.94404427563945
36.09520917180864,33.628579550270864,33.716884168701284,31.641884433347002,29.719555033366177,31.133516337438785,32.80797129389921,32.304466944411665,29.383426423180783,28.901256798268765,31.189499074757336,33.97542139730578,31.19369702370017,37.80341680373808,38.42573163775234,42.12258607782936,44.79644039042637,46.813625234198824,48.823280339777895,49.53124695635213,45.62795463746347,46.32005672608751,39.58720208965226,38.94406699711169
36.09521433850463,33.6285989804081,33.716888680398306,31.64190001442772,29.71958955033245,31.133553221684046,32.80798237200639,32.30447860722892,29.383464612451164,28.90129085466722,31.189514484005333,33.97541710436214,31.193714018880968,37.803416401337714,38.42573361076288,42.12259551174515,44.79645725913474,46.813658276111376,48.823303835325326,49.53127319219518,45.628049034810495,46.3200769599253,39.58724914129103,38.94412206285869
36.095293578446295,33.628896566800414,33.716957884684746,31.642138714930653,29.72011768980506,31.134117502998507,32.808152147222465,32.30465717510265,29.38404895955318,28.90181181605838,31.189750695671687,33.975351494043146,31.193974147880375,37.80340969699117,38.42576371490937,42.12274002718886,44.79671579769422,46.81415747709843,48.82366720229763,49.53167483044454,45.62948932924075,46.320386838415196,39.58796855667516,38.94496365932909
36.096449028614536,33.63324170602299,33.717966935057,31.64562278362843,29.727839735552134,31.142369671372265,32.81062912822464,32.30726258880225,29.392595533152384,28.90942853754936,31.193198341332614,33.974395575559484,31.19777148994646,37.80331169457487,38.426202729652076,42.124848042352106,44.800489904827174,46.82145629663409,48.82897565654562,49.53754295011609,45.65063878371569,46.32491179827166,39.59849831222899,38.95728942641517
36.09765085541711,33.637754185581784,33.71901656099986,31.649242556033023,29.735846246259268,31.150923737465025,32.81320386018684,32.309970627350424,29.401453621556158,28.917326192822767,31.196780398131107,33.97340023185179,31.201716233799363,37.803209639355174,38.42665940927392,42.127039524365536,44.804410428189,46.82902662094627,48.83448672942139,49.54363257149121,45.67245097453874,46.32961061174049,39.60940215313069,38.970043306957095
36.097941154625545,33.63884099800314,33.71927012990955,31.650115043442778,29.73776891169485,31.152976984328596,32.8138250292149,32.3106238781778,29.40357932122665,28.919222903147464,31.19764383532463,33.973159337476474,31.202666808456197,37.80318493839219,38.42676976346588,42.12756843233467,44.80535515545402,46.83084544164757,48.83581309567017,49.54509724797756,45.67764034103502,46.33074211898617,39.61201464524743,38.97309491559183
36.09808919768737,33.63939467095201,33.71939944776185,31.650559650580757,29.73874741151525,31.154021782886602,32.81414167033462,32.31095655233261,29.404660853137074,28.920188340768462,31.198083403094046,33.97303683430456,31.203151633194594,37.803172297165595,38.42682690202139,42.12783804189622,44.80583684932428,46.831745343539964,48.836496862218766,49.54584307217361,45.680272896015104,46.331318529086246,39.613343192121945,38.974646060718854
36.09955203453602,33.644857403468755,33.720677358202884,31.654947976445378,29.748388581485855,31.16431422696062,32.81726841295737,32.31424578744138,29.415318135663505,28.929703736996778,31.202432447085428,33.971843474427075,31.20797194143402,37.80304237851437,38.42736365812661,42.13050265733247,44.8105771917405,46.84087357588902,48.84251363736062,49.55319693305965,45.7060837197129,46.337005151340136,39.626420938121115,38.98990684102396
36.099885647540695,33.64609883020008,33.72096884216819,31.655946188024043,29.750571760624116,31.166643639277293,32.817980451574456,32.314994706177636,29.417729395907678,28.93185866550475,31.203421749313296,33.97157070806513,31.209068036048585,37.80301276234677,38.42748620500255,42.13110966808296,44.811655111689696,46.84294038992376,48.84388056330052,49.55486537827833,45.711863890643535,46.3382972035821,39.6293742238872,38.993347509218175
